siruta
siruta;sirsup;localitate;superior;tip;med;denloc;densup;tipsup;regiune;codp;jud;mnemonic
40615;40606;Bod;Bod;22;3;BOD;BOD;3;7;507015;8;BV
41202;41177;Cuciulata;Hoghiz;23;3;CUCIULATA;HOGHIZ;3;7;507097;8;BV
52240;52160;"Costiş";Cornereva;23;3;COSTIS;CORNEREVA;3;5;327118;11;CS
55614;55598;Rediu;Aiton;23;3;REDIU;AITON;3;6;407026;12;CJ
89543;89428;"Stânceşti-Ohaba";Dobra;23;3;STANCESTI-OHABA;DOBRA;3;5;337228;20;HD
55632;55623;"Aluniş";"Aluniş";22;3;ALUNIS;ALUNIS;3;6;407030;12;CJ
108687;179613;"Şieu";"Şieu";22;3;SIEU;SIEU;3;6;437230;24;MM
111809;114079;Vrata;Vrata;22;3;VRATA;VRATA;3;4;227211;25;MH
142505;142499;Rus;Rus;22;3;RUS;RUS;3;6;457290;31;SJ
145621;145603;Albi;Slimnic;23;3;ALBI;SLIMNIC;3;7;557241;32;SB
163235;163208;"Creţeştii de Sus";"Creţeşti";23;3;"CRETESTII DE SUS";CRETESTI;3;1;737157;37;VS
55641;55623;Corneni;"Aluniş";23;3;CORNENI;ALUNIS;3;6;407031;12;CJ
38768;38731;"Lehneşti";Ripiceni;23;3;LEHNESTI;RIPICENI;3;1;717327;7;BT
38777;38731;"Movila Ruptă";Ripiceni;23;3;"MOVILA RUPTA";RIPICENI;3;1;717328;7;BT
38786;38731;Popoaia;Ripiceni;23;3;POPOAIA;RIPICENI;3;1;717329;7;BT
38802;38731;"Râşca";Ripiceni;23;3;RASCA;RIPICENI;3;1;717331;7;BT
38795;38731;"Ripicenii Vechi";Ripiceni;23;3;"RIPICENII VECHI";RIPICENI;3;1;717332;7;BT
38820;38811;Roma;Roma;22;3;ROMA;ROMA;3;1;717335;7;BT
38839;38811;Cotârgaci;Roma;23;3;COTARGACI;ROMA;3;1;717336;7;BT
38857;38848;"Româneşti";"Româneşti";22;3;ROMANESTI;ROMANESTI;3;1;717340;7;BT
38866;38848;"Dămideni";"Româneşti";23;3;DAMIDENI;ROMANESTI;3;1;717341;7;BT
38875;38848;"Româneşti-Vale";"Româneşti";23;3;ROMANESTI-VALE;ROMANESTI;3;1;717342;7;BT
38884;38848;"Sărata";"Româneşti";23;3;SARATA;ROMANESTI;3;1;717343;7;BT
43260;43242;"Găvani";Gemenele;23;3;GAVANI;GEMENELE;3;2;817061;9;BR
45682;45673;Buda;Buda;22;3;BUDA;BUDA;3;2;127110;10;BZ
93959;93931;Nucetu;"Lupşanu";23;3;NUCETU;LUPSANU;3;3;917161;51;CL
93968;93931;Plevna;"Lupşanu";23;3;PLEVNA;LUPSANU;3;3;917162;51;CL
93977;93931;"Radu Vodă";"Lupşanu";23;3;"RADU VODA";LUPSANU;3;3;917165;51;CL
93986;93931;"Valea Rusului";"Lupşanu";23;3;"VALEA RUSULUI";LUPSANU;3;3;917163;51;CL
104190;104181;"Mânăstirea";"Mânăstirea";22;3;MANASTIREA;MANASTIREA;3;3;917170;51;CL
104207;104181;Coconi;"Mânăstirea";23;3;COCONI;MANASTIREA;3;3;917171;51;CL
104216;104181;Sultana;"Mânăstirea";23;3;SULTANA;MANASTIREA;3;3;917172;51;CL
100647;100638;Mitreni;Mitreni;22;3;MITRENI;MITRENI;3;3;917175;51;CL
100656;100638;"Clăteşti";Mitreni;23;3;CLATESTI;MITRENI;3;3;917176;51;CL
100665;100638;"Valea Roşie";Mitreni;23;3;"VALEA ROSIE";MITRENI;3;3;917177;51;CL
92596;92587;Modelu;Modelu;22;3;MODELU;MODELU;3;3;917180;51;CL
92612;92587;"Radu Negru";Modelu;23;3;"RADU NEGRU";MODELU;3;3;917181;51;CL
92621;92587;"Stoeneşti";Modelu;23;3;STOENESTI;MODELU;3;3;917182;51;CL
92630;92587;Tonea;Modelu;23;3;TONEA;MODELU;3;3;917183;51;CL
104332;104323;Nana;Nana;22;3;NANA;NANA;3;3;917185;51;CL
104350;104341;"Nicolae Bălcescu";"Nicolae Bălcescu";22;3;"NICOLAE BALCESCU";"NICOLAE BALCESCU";3;3;917190;51;CL
104369;104341;"Fântâna Doamnei";"Nicolae Bălcescu";23;3;"FANTANA DOAMNEI";"NICOLAE BALCESCU";3;3;917191;51;CL
104378;104341;Paicu;"Nicolae Bălcescu";23;3;PAICU;"NICOLAE BALCESCU";3;3;917192;51;CL
94232;94223;"Perişoru";"Perişoru";22;3;PERISORU;PERISORU;3;3;917195;51;CL
94241;94223;"Mărculeşti-Gară";"Perişoru";23;3;MARCULESTI-GARA;PERISORU;3;3;917196;51;CL
94250;94223;"Tudor Vladimirescu";"Perişoru";23;3;"TUDOR VLADIMIRESCU";PERISORU;3;3;917197;51;CL
1035;1017;"Bărăbanţ";"Municipiul Alba Iulia";10;1;BARABANT;"MUNICIPIUL ALBA IULIA";1;7;510001;1;AB
1044;1017;"Miceşti";"Municipiul Alba Iulia";10;1;MICESTI;"MUNICIPIUL ALBA IULIA";1;7;510002;1;AB
1026;1017;"Alba Iulia";"Municipiul Alba Iulia";9;1;"ALBA IULIA";"MUNICIPIUL ALBA IULIA";1;7;510___;1;AB
2149;2130;Albac;Albac;22;3;ALBAC;ALBAC;3;7;517005;1;AB
7874;7865;"Şona";"Şona";22;3;SONA;SONA;3;7;517755;1;AB
17833;17824;Oarja;Oarja;22;3;OARJA;OARJA;3;3;117545;3;AG
30782;30773;Rieni;Rieni;22;3;RIENI;RIENI;3;6;417415;5;BH
30791;30773;Cucuceni;Rieni;23;3;CUCUCENI;RIENI;3;6;417416;5;BH
30808;30773;"Ghighişeni";Rieni;23;3;GHIGHISENI;RIENI;3;6;417417;5;BH
30817;30773;Petrileni;Rieni;23;3;PETRILENI;RIENI;3;6;417418;5;BH
